# Permission database for AdvancedLuckPermsGUI
# Format are <pluginName>|<permission>|<desc>|<commands>,|<defaultAssignment>
Citizens|citizens.npc.controllable.splashpotion|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.squid|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.stray|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.thrownexpbottle|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.tippedarrow|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.unknown|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.vex|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.villager|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.vindicator|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.weather|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.witch|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.wither|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.witherskeleton|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.witherskull|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.wolf|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.zombie|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.zombiehorse|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.zombievillager|empty|<l><l>|NONE
Citizens|citizens.npc.create|empty|<l><l>|NONE
Citizens|citizens.npc.create.areaeffectcloud|empty|<l><l>|NONE
Citizens|citizens.npc.create.armorstand|empty|<l><l>|NONE
Citizens|citizens.npc.create.arrow|empty|<l><l>|NONE
Citizens|citizens.npc.create.bat|empty|<l><l>|NONE
Citizens|citizens.npc.create.blaze|empty|<l><l>|NONE
Citizens|citizens.npc.create.boat|empty|<l><l>|NONE
Citizens|citizens.npc.create.cavespider|empty|<l><l>|NONE
Citizens|citizens.npc.create.chicken|empty|<l><l>|NONE
Citizens|citizens.npc.create.complexpart|empty|<l><l>|NONE
Citizens|citizens.npc.create.cow|empty|<l><l>|NONE
Citizens|citizens.npc.create.creeper|empty|<l><l>|NONE
Citizens|citizens.npc.create.donkey|empty|<l><l>|NONE
Citizens|citizens.npc.create.dragonfireball|empty|<l><l>|NONE
Citizens|citizens.npc.create.droppeditem|empty|<l><l>|NONE
Citizens|citizens.npc.create.egg|empty|<l><l>|NONE
Citizens|citizens.npc.create.elderguardian|empty|<l><l>|NONE
Citizens|citizens.npc.create.endercrystal|empty|<l><l>|NONE
Citizens|citizens.npc.create.enderdragon|empty|<l><l>|NONE
Citizens|citizens.npc.create.enderman|empty|<l><l>|NONE
Citizens|citizens.npc.create.endermite|empty|<l><l>|NONE
Citizens|citizens.npc.create.enderpearl|empty|<l><l>|NONE
Citizens|citizens.npc.create.endersignal|empty|<l><l>|NONE
Citizens|citizens.npc.create.evoker|empty|<l><l>|NONE
Citizens|citizens.npc.create.evokerfangs|empty|<l><l>|NONE
Citizens|citizens.npc.create.experienceorb|empty|<l><l>|NONE
Citizens|citizens.npc.create.fallingblock|empty|<l><l>|NONE
Citizens|citizens.npc.create.fireball|empty|<l><l>|NONE
Citizens|citizens.npc.create.firework|empty|<l><l>|NONE
Citizens|citizens.npc.create.fishinghook|empty|<l><l>|NONE
Citizens|citizens.npc.create.ghast|empty|<l><l>|NONE
Citizens|citizens.npc.create.giant|empty|<l><l>|NONE
Citizens|citizens.npc.create.guardian|empty|<l><l>|NONE
Citizens|citizens.npc.create.horse|empty|<l><l>|NONE
Citizens|citizens.npc.create.husk|empty|<l><l>|NONE
Citizens|citizens.npc.create.illusioner|empty|<l><l>|NONE
Citizens|citizens.npc.create.irongolem|empty|<l><l>|NONE
Citizens|citizens.npc.create.itemframe|empty|<l><l>|NONE
Citizens|citizens.npc.create.leashhitch|empty|<l><l>|NONE
Citizens|citizens.npc.create.lightning|empty|<l><l>|NONE
Citizens|citizens.npc.create.lingeringpotion|empty|<l><l>|NONE
Citizens|citizens.npc.create.llama|empty|<l><l>|NONE
Citizens|citizens.npc.create.llamaspit|empty|<l><l>|NONE
Citizens|citizens.npc.create.magmacube|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecart|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecartchest|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecartcommand|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecartfurnace|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecarthopper|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecartmobspawner|empty|<l><l>|NONE
Citizens|citizens.npc.create.minecarttnt|empty|<l><l>|NONE
Citizens|citizens.npc.create.mule|empty|<l><l>|NONE
Citizens|citizens.npc.create.mushroomcow|empty|<l><l>|NONE
Citizens|citizens.npc.create.ocelot|empty|<l><l>|NONE
Citizens|citizens.npc.create.painting|empty|<l><l>|NONE
Citizens|citizens.npc.create.parrot|empty|<l><l>|NONE
Citizens|citizens.npc.create.pig|empty|<l><l>|NONE
Citizens|citizens.npc.create.pigzombie|empty|<l><l>|NONE
Citizens|citizens.npc.create.player|empty|<l><l>|NONE
Citizens|citizens.npc.create.polarbear|empty|<l><l>|NONE
Citizens|citizens.npc.create.primedtnt|empty|<l><l>|NONE
Citizens|citizens.npc.create.rabbit|empty|<l><l>|NONE
Citizens|citizens.npc.create.sheep|empty|<l><l>|NONE
Citizens|citizens.npc.create.shulker|empty|<l><l>|NONE
Citizens|citizens.npc.create.shulkerbullet|empty|<l><l>|NONE
Citizens|citizens.npc.create.silverfish|empty|<l><l>|NONE
Citizens|citizens.npc.create.skeleton|empty|<l><l>|NONE
Citizens|citizens.npc.create.skeletonhorse|empty|<l><l>|NONE
Citizens|citizens.npc.create.slime|empty|<l><l>|NONE
Citizens|citizens.npc.create.smallfireball|empty|<l><l>|NONE
Citizens|citizens.npc.create.snowball|empty|<l><l>|NONE
Citizens|citizens.npc.create.snowman|empty|<l><l>|NONE
Citizens|citizens.npc.create.spectralarrow|empty|<l><l>|NONE
Citizens|citizens.npc.create.spider|empty|<l><l>|NONE
Citizens|citizens.npc.create.splashpotion|empty|<l><l>|NONE
Citizens|citizens.npc.create.squid|empty|<l><l>|NONE
Citizens|citizens.npc.create.stray|empty|<l><l>|NONE
Citizens|citizens.npc.create.thrownexpbottle|empty|<l><l>|NONE
Citizens|citizens.npc.create.tippedarrow|empty|<l><l>|NONE
Citizens|citizens.npc.create.unknown|empty|<l><l>|NONE
Citizens|citizens.npc.create.vex|empty|<l><l>|NONE
Citizens|citizens.npc.create.villager|empty|<l><l>|NONE
Citizens|citizens.npc.create.vindicator|empty|<l><l>|NONE
Citizens|citizens.npc.create.weather|empty|<l><l>|NONE
Citizens|citizens.npc.create.witch|empty|<l><l>|NONE
Citizens|citizens.npc.create.wither|empty|<l><l>|NONE
Citizens|citizens.npc.create.witherskeleton|empty|<l><l>|NONE
Citizens|citizens.npc.create.witherskull|empty|<l><l>|NONE
Citizens|citizens.npc.create.wolf|empty|<l><l>|NONE
Citizens|citizens.npc.create.zombie|empty|<l><l>|NONE
Citizens|citizens.npc.create.zombiehorse|empty|<l><l>|NONE
Citizens|citizens.npc.create.zombievillager|empty|<l><l>|NONE
Citizens|citizens.npc.edit.copier|empty|<l><l>|NONE
Citizens|citizens.npc.horse|empty|<l><l>|NONE
Citizens|citizens.npc.ignore-cost|empty|<l><l>|NONE
Citizens|citizens.npc.info|empty|<l><l>|NONE
Citizens|citizens.npc.leashable|empty|<l><l>|NONE
Citizens|citizens.npc.name|empty|<l><l>|NONE
Citizens|citizens.npc.ocelot|empty|<l><l>|NONE
Citizens|citizens.npc.path|empty|<l><l>|NONE
Citizens|citizens.npc.pathfindingoptions|empty|<l><l>|NONE
Citizens|citizens.npc.pose|empty|<l><l>|NONE
Citizens|citizens.npc.respawn|empty|<l><l>|NONE
Citizens|citizens.npc.sound|empty|<l><l>|NONE
Citizens|citizens.npc.speak|empty|<l><l>|NONE
Citizens|citizens.npc.swim|empty|<l><l>|NONE
Citizens|citizens.npc.talk|empty|<l><l>|NONE
Citizens|citizens.npc.targetable|empty|<l><l>|NONE
Citizens|citizens.npc.tphere.multiworld|empty|<l><l>|NONE
Citizens|citizens.npc.tpto|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.age|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.anchors|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.controllable|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.equipment|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.gravity|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.horsemodifiers|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.inventory|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.location|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.lookclose|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.ocelotmodifiers|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.owner|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.poses|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.powered|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.profession|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.saddle|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.sheared|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.skeletontype|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.slimesize|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.spawned|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.speech|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.text|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.type|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.waypoints|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.wolfmodifiers|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.woolcolor|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.zombiemodifier|empty|<l><l>|NONE
Citizens|citizens.npc.trait|empty|<l><l>|NONE
Citizens|citizens.npc.trait.age|empty|<l><l>|NONE
Citizens|citizens.npc.trait.anchors|empty|<l><l>|NONE
Citizens|citizens.npc.trait.controllable|empty|<l><l>|NONE
Citizens|citizens.npc.trait.equipment|empty|<l><l>|NONE
Citizens|citizens.npc.trait.gravity|empty|<l><l>|NONE
Citizens|citizens.npc.trait.horsemodifiers|empty|<l><l>|NONE
Citizens|citizens.npc.trait.inventory|empty|<l><l>|NONE
Citizens|citizens.npc.trait.location|empty|<l><l>|NONE
Citizens|citizens.npc.trait.lookclose|empty|<l><l>|NONE
Citizens|citizens.npc.trait.ocelotmodifiers|empty|<l><l>|NONE
Citizens|citizens.npc.trait.owner|empty|<l><l>|NONE
Citizens|citizens.npc.trait.poses|empty|<l><l>|NONE
Citizens|citizens.npc.trait.powered|empty|<l><l>|NONE
Citizens|citizens.npc.trait.profession|empty|<l><l>|NONE
Citizens|citizens.npc.trait.saddle|empty|<l><l>|NONE
Citizens|citizens.npc.trait.sheared|empty|<l><l>|NONE
Citizens|citizens.npc.trait.skeletontype|empty|<l><l>|NONE
Citizens|citizens.npc.trait.slimesize|empty|<l><l>|NONE
Citizens|citizens.npc.trait.spawned|empty|<l><l>|NONE
Citizens|citizens.npc.trait.speech|empty|<l><l>|NONE
Citizens|citizens.npc.trait.text|empty|<l><l>|NONE
Citizens|citizens.npc.trait.type|empty|<l><l>|NONE
Citizens|citizens.npc.trait.waypoints|empty|<l><l>|NONE
Citizens|citizens.npc.trait.wolfmodifiers|empty|<l><l>|NONE
Citizens|citizens.npc.trait.woolcolor|empty|<l><l>|NONE
Citizens|citizens.npc.trait.zombiemodifier|empty|<l><l>|NONE
Citizens|citizens.npc.wolf|empty|<l><l>|NONE
Citizens|citizens.script.compile|empty|<l><l>|NONE
Citizens|citizens.templates.help|empty|<l>template<br><l>|NONE
Citizens|citizens.npc.text|empty|<l><l>|NONE
Citizens|citizens.*|empty|<l><l>|NONE
Citizens|citizens.citizens.*|empty|<l><l>|NONE
Citizens|citizens.npc.controllable.*|empty|<l><l>|NONE
Citizens|citizens.npc.edit.*|empty|<l><l>|NONE
Citizens|citizens.npc.limit.*|empty|<l><l>|NONE
Citizens|citizens.npc.tphere.*|empty|<l><l>|NONE
Citizens|citizens.npc.trait-configure.*|empty|<l><l>|NONE
Citizens|citizens.script.*|empty|<l><l>|NONE
Citizens|citizens.templates.*|empty|<l><l>|NONE
Citizens|citizens.waypoints.*|empty|<l><l>|NONE
Citizens|citizens.kit.op|empty|<l><l>|OP
DragonSlayer|dragonslayer.setspawn|/dragonslayer setspawn/remspawn & setarmorstand/remarmorstand permission|<l><l>|NONE
DragonSlayer|dragonslayer.getspawn|/dragonslayer getspawn & getarmorstand permission|<l><l>|NONE
DragonSlayer|dragonslayer.reload|/dragonslayer reload permission|<l><l>|NONE
DragonSlayer|dragonslayer.forcerespawn|/dragonslayer forcerespawn permission|<l><l>|NONE
DragonSlayer|dragonslayer.worldreset|/dragonslayer worldreset permission|<l><l>|NONE
DragonSlayer|dragonslayer.admin|admin permissions|<l><l>|NONE
DragonSlayer|dragonslayer|/dragonslayer permission|<l><l>|PLAYER
DragonSlayer|dragonslayer.*|all permissions|<l><l>|OP
MMOCore|mmocore.admin|Access to /rpg|<l><l>|OP
MMOCore|mmocore.waypoints|Access to /waypoints|<l><l>|OP
MMOCore|mmocore.currency|Access to /deposit and /withdraw|<l><l>|OP
MMOCore|mmocore.class-select|Access to /class|<l><l>|OP
AuctionGUIPlus|auctionguiplus.*|Access to all AuctionGUIPlus commands|<l><l>|OP
AuctionGUIPlus|auctionguiplus.auction|Access to the main command|<l><l>|OP
AuctionGUIPlus|auctionguiplus.auction.reload|Access to the reload command|<l><l>|OP
AuctionGUIPlus|auctionguiplus.auction.bid|Access to the bid command|<l><l>|OP
AuctionGUIPlus|auctionguiplus.auction.start|Access to the start command|<l><l>|OP
AuctionGUIPlus|auctionguiplus.cancelothers|Access to cancel others auctions|<l><l>|OP
AuctionGUIPlus|auctionguiplus.bypassgamemode|Access to access auctions in every gamemode|<l><l>|OP
GrapplingHook|grapplinghook.give|empty|<l><l>|OP
GrapplingHook|grapplinghook.debug|empty|<l><l>|OP
GrapplingHook|grapplinghook.reload|empty|<l><l>|OP
GrapplingHook|grapplinghook.use|empty|<l><l>|PLAYER
GrapplingHook|grapplinghook.craft|empty|<l><l>|PLAYER
CitizensCMD|citizenscmd.use|Allows player to click NPC.|<l><l>|PLAYER
CitizensCMD|citizenscmd.help|empty|<l><l>|OP
CitizensCMD|citizenscmd.add|empty|<l><l>|OP
CitizensCMD|citizenscmd.list|empty|<l><l>|OP
CitizensCMD|citizenscmd.cooldown|empty|<l><l>|OP
CitizensCMD|citizenscmd.price|empty|<l><l>|OP
CitizensCMD|citizenscmd.reload|empty|<l><l>|OP
CitizensCMD|citizenscmd.permission|empty|<l><l>|OP
CitizensCMD|citizenscmd.remove|empty|<l><l>|OP
CitizensCMD|citizenscmd.edit|empty|<l><l>|OP
CitizensCMD|citizenscmd.bypass|empty|<l><l>|NONE
BattlePass|battlepass.admin|access to admin commands|<l><l>|OP
Residence|residence.admin|Gives you access to /resadmin|<l><l>|OP
Residence|residence.topadmin|Gives you access to /resreload and /resload commands|<l><l>|OP
Residence|residence.admin.tp|Allows to override tp flag|<l><l>|OP
Residence|residence.admin.move|Allows to override move flag|<l><l>|OP
Residence|residence.rename|Allows you to rename residences|<l><l>|PLAYER
Residence|residence.create|Allows you to create residences|<l><l>|PLAYER
Residence|residence.delete|Allows you to delete residences|<l><l>|PLAYER
Residence|residence.create.subzone|Allows you to create residences subzone|<l><l>|PLAYER
Residence|residence.delete.subzone|Allows you to delete residences subzone|<l><l>|PLAYER
Residence|residence.expand|Allows you to expand residence|<l><l>|PLAYER
Residence|residence.expand.subzone|Allows you to expand residences subzone|<l><l>|PLAYER
Residence|residence.contract|Allows you to contract residence|<l><l>|PLAYER
Residence|residence.contract.subzone|Allows you to contract residences subzone|<l><l>|PLAYER
Residence|residence.select|Allows you to select an area to make residences|<l><l>|PLAYER
Residence|residence.resize|Allows you to resize an area|<l><l>|PLAYER
Residence|residence.versioncheck|Notice to new version after connect|<l><l>|OP
Residence|residence.bypass.nofly|Bypasses nofly flag in residence|<l><l>|OP
Residence|residence.bypass.command|Bypasses command flag in residence|<l><l>|OP
Residence|residence.select.auto.others|Allows to turn on auto selection for other players|<l><l>|OP
Residence|residence.chatcolor|Allows to change residence chat color|<l><l>|PLAYER
Residence|residence.chatprefix|Allows to change residence chat prefix|<l><l>|OP
Residence|residence.chatkick|Allows to kick players from residence chat|<l><l>|PLAYER
Residence|residence.compass|Allows to set compass pointer to residence|<l><l>|PLAYER
Residence|residence.randomtp|Allows to use /res rt command|<l><l>|PLAYER
Residence|residence.command.show|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.area|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.bank|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.check|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.clearflags|Allows to access particular command|<l><l>|OP
Residence|residence.command.command|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.compass|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.confirm|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.contract|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.create|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.auto|Allows to create max residence|<l><l>|PLAYER
Residence|residence.command.current|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.expand|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.flags|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.give|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.gset|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.gui|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.info|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.kick|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.lease|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.limits|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.list|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.list.others|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.listall|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.setdefaultflags|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.listallhidden|Allows to access particular command|<l><l>|OP
Residence|residence.command.listhidden|Allows to access particular command|<l><l>|OP
Residence|residence.command.lists|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.lset|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.market|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.material|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.message|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.message.enter|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.message.enter.remove|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.message.leave|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.message.leave.remove|Allows to access particular command|<l><l>|PLAYER
Residence|residence.newguyresidence|Allows for auto residence creation on chest place|<l><l>|PLAYER
Residence|residence.command.mirror|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.padd|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.pdel|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.pset|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.rc|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.reload|Allows to access particular command|<l><l>|OP
Residence|residence.command.remove|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.removeall|Allows to access particular command|<l><l>|OP
Residence|residence.command.removeworld|Allows to access particular command|<l><l>|OP
Residence|residence.command.rename|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.renamearea|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.resadmin|Allows to access particular command|<l><l>|OP
Residence|residence.command.resbank|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.reset|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.rt|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.select|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.server|Allows to access particular command|<l><l>|OP
Residence|residence.command.set|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.setmain|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.setowner|Allows to access particular command|<l><l>|OP
Residence|residence.command.shop|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.signconvert|Allows to access particular command|<l><l>|OP
Residence|residence.command.signupdate|Allows to access particular command|<l><l>|OP
Residence|residence.command.sublist|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.subzone|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.tool|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.tp|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.tpconfirm|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.tpset|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.unstuck|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.version|Allows to access particular command|<l><l>|PLAYER
Residence|residence.command.siege|Allows to access particular command|<l><l>|PLAYER
MyPet|MyPet.leash.*|Player can leash all MyPet-Types.|<l><l>|OP
MyPet|MyPet.command.trade.offer.*|Player offer all MyPet-Types.|<l><l>|OP
MyPet|MyPet.command.trade.receive.*|Player receive all MyPet-Types.|<l><l>|OP
MyPet|MyPet.admin|Gives access to the MyPet admin features.|<l>mypetadmin<br><l>|OP
MyPet|MyPet.*|Gives access to MyPet features for normal user.|<l><l>|OP
MyPet|MyPet.command.release|Allows usage of /petrelease|<l><l>|OP
MyPet|MyPet.command.capturehelper|Gives access to the CaptureHelper|<l><l>|OP
MyPet|MyPet.command.respawn|Allows usage of /petrespawn|<l><l>|OP
MyPet|MyPet.command.name|Allows usage of /petname|<l><l>|OP
MyPet|MyPet.command.name.color|Allows to use colors in petnames|<l><l>|OP
MyPet|MyPet.command.options|Allows to use the MyPet options command|<l><l>|OP
MyPet|MyPet.command.switch|Allows to switch between MyPets|<l><l>|OP
MyPet|MyPet.command.store|Allows to store MyPets|<l><l>|OP
MyPet|MyPet.command.info.other|Allows to view info about pets from other players with "/petinfo <playername>"|<l><l>|OP
MyPet|MyPet.extended.feed|Extended permission. Allows to feed pets.|<l><l>|OP
MyPet|MyPet.extended.equip|Extended permission. Allows to equip pets.|<l><l>|OP
MyPet|MyPet.extended.beacon|Extended permission. Allows to open the beacon GUI.|<l><l>|OP
MyPet|MyPet.extended.inventory|Extended permission. Allows to open the inventory of the pet.|<l><l>|OP
MyPet|MyPet.extended.ride|Extended permission. Allows to mount pets.|<l><l>|OP
MyPet|MyPet.extended.ride.fly|Extended permission. Allows to fly the pet while riding.|<l><l>|OP
MyPet|MyPet.extended.control|Extended permission. Allows to control pets.|<l><l>|OP
MyPet|MyPet.extended.pickup|Extended permission. Allows to enable pickup.|<l><l>|OP
MyPet|MyPet.extended.behavior.friendly|Extended permission. Allows to use the ´friendly´ behavior.|<l><l>|OP
MyPet|MyPet.extended.behavior.aggressive|Extended permission. Allows to use the ´aggressive´ behavior.|<l><l>|OP
MyPet|MyPet.extended.behavior.farm|Extended permission. Allows to use the ´farm´ behavior.|<l><l>|OP
MyPet|MyPet.extended.behavior.raid|Extended permission. Allows to use the ´raid´ behavior.|<l><l>|OP
MyPet|MyPet.extended.behavior.duel|Extended permission. Allows to use the ´duel´ behavior.|<l><l>|OP
MyPet|MyPet.experience.multiplier.125|Grants 25% extra experience.|<l><l>|OP
MyPet|MyPet.experience.multiplier.150|Grants 50% extra experience.|<l><l>|OP
MyPet|MyPet.experience.multiplier.175|Grants 75% extra experience.|<l><l>|OP
MyPet|MyPet.experience.multiplier.200|Grants 100% extra experience.|<l><l>|OP
MyPet|MyPet.experience.multiplier.225|Grants 125% extra experience.|<l><l>|OP
MyPet|MyPet.experience.multiplier.250|Grants 150% extra experience.|<l><l>|OP
MMOItems|mmoitems.admin|Access to admin commands.|<l><l>|OP
MMOItems|mmoitems.awb|Access to /advancedworkbench.|<l><l>|OP
MMOItems|mmoitems.update|Access to /updateitem.|<l><l>|OP
MMOItems|mmoitems.bypass.item|Bypasses item permission restriction.|<l><l>|NONE
MMOItems|mmoitems.bypass.ability|Bypasses ability permission restriction.|<l><l>|NONE
MMOItems|mmoitems.bypass.class|Bypasses item class restriction.|<l><l>|NONE
MMOItems|mmoitems.bypass.soulbound|Bypasses soulbound restriction.|<l><l>|NONE
MMOItems|mmoitems.bypass.level|Bypasses item level restriction.|<l><l>|NONE
MMOItems|mmoitems.update-notify|Receive a notification when a new update is available.|<l><l>|OP
MMOItems|mmoitems.soulbound|Allows to use /soulbound.|<l><l>|OP
Plan|plan.?|Help command|<l><l>|PLAYER
Plan|plan.inspect.base|Allows you to check your player data.|<l><l>|PLAYER
Plan|plan.inspect.other|Allows you to check other players' player data.|<l><l>|OP
Plan|plan.qinspect.base|Allows you to check your player data.|<l><l>|OP
Plan|plan.qinspect.other|Allows you to check other players' player data.|<l><l>|OP
Plan|plan.analyze|Allows you to check analysed data about all players.|<l><l>|OP
Plan|plan.qanalyze|Allows you to check analysed data about all players.|<l><l>|OP
Plan|plan.reload|Allows to reload plugin config|<l><l>|OP
Plan|plan.search|Allows search|<l><l>|OP
Plan|plan.info|Allows to view info|<l><l>|OP
Plan|plan.ignore.commanduse|Commands used by this player are not saved|<l><l>|NONE
Plan|plan.ignore.afk|AFK time by this player is ignored|<l><l>|NONE
Plan|plan.manage|Manage the database, clear, move, combine.|<l><l>|OP
Plan|plan.webmanage|Manage the webusers, delete, list, check|<l><l>|OP
Plan|plan.basic|empty|<l><l>|OP
Plan|plan.advanced|empty|<l><l>|OP
Plan|plan.staff|empty|<l><l>|OP
Plan|plan.*|empty|<l><l>|OP
EpicCraftingsPlus|ecraft.command.ecraft|empty|<l>ecraft<br><l>|PLAYER
AuctionHouse|auctionhouse.reload|Enables the /auctionhouse reload command|<l><l>|NONE
AuctionHouse|auctionhouse.use|Enables the /ah command|<l><l>|PLAYER
AuctionHouse|auctionhouse.menu|Enables the /ah menu command|<l><l>|NONE
AuctionHouse|auctionhouse.search|Enables the /ah search command|<l><l>|PLAYER
AuctionHouse|auctionhouse.help|Enables the /ah help command|<l><l>|PLAYER
AuctionHouse|auctionhouse.sell|Enables the /ah sell command|<l><l>|PLAYER
AuctionHouse|auctionhouse.selling|Enables the /ah selling command|<l><l>|PLAYER
AuctionHouse|auctionhouse.sold|Enables the /ah sold command|<l><l>|PLAYER
AuctionHouse|auctionhouse.expired|Enables the /ah expired command|<l><l>|PLAYER
AuctionHouse|auctionhouse.cancel|Enables the /ah cancel command|<l><l>|PLAYER
AuctionHouse|auctionhouse.return|Enables the /ah return command|<l><l>|PLAYER
AuctionHouse|auctionhouse.cancel.others|Enables cancelling other's listing|<l><l>|NONE
FastAsyncWorldEdit|fawe.bypass.regions|empty|<l><l>|NONE
FastAsyncWorldEdit|fawe.reload|empty|<l><l>|NONE
HeadDatabase|headdb.phead|empty|<l>playerhead<br><l>|OP
HeadDatabase|headdb.category.*|empty|<l><l>|PLAYER
HeadDatabase|headdb.category.all|empty|<l><l>|NONE
HeadDatabase|headdb.allow.buy.*|empty|<l><l>|OP
HeadDatabase|headdb.allow.buy|empty|<l><l>|NONE
HeadDatabase|headdb.free.all|empty|<l><l>|NONE
HeadDatabase|headdb.online.hide|empty|<l><l>|OP
HeadDatabase|headdb.admin.*|empty|<l><l>|NONE
